full_name,sector,sector,discipline,discipline,discipline,scholarly_approach,scholarly_approach,work_system,work_system,work_system,work_region,work_region,work_region,work_region,work_region,work_region,work_region,work_region,career_stage,gender,ethnicity,ethnicity,first_language,first_language,first_language,professional_language,professional_language,professional_language,professional_language,professional_language
Ruth H. Thurstan,University,,Ecology,,,quantitative,,Marine,,,Australia/NZ,Europe,,,,,,,Mid,Female,White/Caucasian,,English,,,English,,,,
Torrey Rick,Museum,,Archaeology,,,quantitative,,Marine,,,USA/Canada,,,,,,,,Mid,Male,White/Caucasian,,English,,,English,,,,
Kyle S. Van Houtan,University,Non-profit,Ecology,,,qualitative,quantitative,Marine,Terrestrial,,Caribbean,Latin America,Pacific Islands,USA/Canada,,,,,Mid,Male,White/Caucasian,,English,,,English,Spanish,,,
Andrew Trant,University,,Ecology,,,quantitative,,Terrestrial,,,USA/Canada,,,,,,,,Mid,Male,White/Caucasian,,English,,,English,,,,
Aaron O'Dea,University,,Ecology,Paleoecology,,quantitative,,Marine,Freshwater,,Caribbean,Latin America,Pacific Islands,,,,,,Mid,Male,White/Caucasian,,English,,,Spanish,,,,
Alexis Mychajliw,University,,Paleoecology,Other,,quantitative,,Terrestrial,Freshwater,,Caribbean,Latin America,USA/Canada,,,,,,Early,Female,White/Caucasian,,English,,,English,Spanish,,,
Katie Cramer,University,,Ecology,Paleoecology,,quantitative,,Marine,,,Caribbean,,,,,,,,Mid,Female,White/Caucasian,,English,,,English,Spanish,,,
Daniel Pauly,University,,Ecology,,,qualitative,,Marine,Freshwater,,Africa,Asia,Australia/NZ,Caribbean,Latin America,Europe,Pacific Islands,USA/Canada,Late,Male,Black/African,,French,,,English,Spanish,German,,
Antonieta Jerardino,University,,Archaeology,,,quantitative,,Marine,,,Africa,,,,,,,,Mid,Female,Latinx,,Spanish,,,English,,,,
Heidi Alleway,Non-profit,,Ecology,,,quantitative,,Marine,Freshwater,,Asia,Australia/NZ,Pacific Islands,USA/Canada,,,,,Mid,Female,White/Caucasian,,English,,,English,,,,
Heike K Lotze,University,,Ecology,,,quantitative,,Marine,,,Australia/NZ,Caribbean,Europe,USA/Canada,,,,,Late,Female,White/Caucasian,,German,,,English,,,,
Joshua Drew,University,,Ecology,,,qualitative,,Marine,Freshwater,,Pacific Islands,USA/Canada,,,,,,,Early,Male,White/Caucasian,,English,,,English,Spanish,,,
Marco Hatch,University,,Ecology,,,quantitative,,Marine,,,USA/Canada,,,,,,,,Mid,Male,Indigenous,,English,,,English,,,,
Péter Szabó,University,,Ecology,History,,qualitative,,Terrestrial,,,Europe,,,,,,,,Mid,Male,White/Caucasian,,Hungarian,,,Czech,English,German,Hungarian,Latin
Ryan Simon Mohammed,University,,Ecology,,,quantitative,,Marine,Terrestrial,Freshwater,Caribbean,,,,,,,,Early,Male,Asian,,English,,,English,,,,
Michelle María Early Capistrán,University,,Anthropology,Ecology,,quantitative,,Marine,,,Latin America,USA/Canada,,,,,,,Early,Female,Latinx,,Spanish,,,English,Spanish,,,
Michelle J. LeFebvre,University,Museum,Anthropology,Archaeology,,quantitative,,Marine,Terrestrial,,Caribbean,USA/Canada,,,,,,,Early,Female,White/Caucasian,,English,,,English,,,,
Kira Hoffman,University,,Ecology,,,quantitative,,Terrestrial,,,USA/Canada,,,,,,,,Early,Female,White/Caucasian,,English,,,English,,,,
Molly Grace,University,,Ecology,,,quantitative,,Marine,Terrestrial,Freshwater,Africa,Asia,Australia/NZ,Caribbean,Europe,Latin America,Pacific Islands,USA/Canada,Early,Female,White/Caucasian,,English,,,English,Spanish,,,
Ancilleno O. Davis,Non-profit,University,Ecology,Other,,quantitative,,Marine,Terrestrial,,Caribbean,Latin America,USA/Canada,,,,,,Early,Male,Black/African,Latinx,English,,,English,Spanish,,,
John Waldman,University,,Ecology,,,qualitative,,Marine,Freshwater,,USA/Canada,,,,,,,,Late,Male,White/Caucasian,,English,,,English,,,,
Rebecca Bliege Bird,University,,Anthropology,Archaeology,Ecology,quantitative,,Terrestrial,,,Australia/NZ,USA/Canada,,,,,,,Late,Female,White/Caucasian,,English,,,English,,,,
Catalina Munteanu,University,,Ecology,,,quantitative,,Terrestrial,,,Asia,Europe,,,,,,,Early,Female,White/Caucasian,,Romanian,,,English,German,,,
Pete Alagona,University,,History,,,qualitative,,Terrestrial,,,USA/Canada,,,,,,,,Mid,Male,White/Caucasian,,English,,,English,,,,
Andre Carlo Colonese,University,,Archaeology,,,quantitative,,Marine,Terrestrial,,Europe,Latin America,,,,,,,Late,Male,White/Caucasian,,Portuguese,Italian,,English,Spanish,Catalan,Italian,
